Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
02/07/2020,453.0469,1.0809,50.9500,34.6460
02/06/2020,451.9660,-1.8040,50.9500,34.6460
02/05/2020,453.7700,1.2257,50.9500,34.1365
02/04/2020,452.5443,0.1189,50.9500,34.1365
02/03/2020,452.4254,0.3774,50.9500,34.1365
01/31/2020,452.0480,-2.8733,50.9500,34.1365
01/30/2020,454.9213,2.6895,50.9500,34.1365
01/29/2020,452.2318,-1.6075,50.9500,34.1365
01/28/2020,453.8393,-0.3521,50.9500,34.1365
01/27/2020,454.1914,1.5322,50.9500,34.1365
01/24/2020,452.6592,2.0711,50.9500,34.1365
01/23/2020,450.5881,-1.1311,50.9500,34.1365
01/22/2020,451.7192,0.6462,50.9500,33.1175
01/21/2020,451.0730,0.7536,50.9500,33.1175
01/20/2020,450.3194,-3.1071,50.9500,33.1175
01/17/2020,453.4265,3.0794,50.9500,33.1175
01/16/2020,450.3471,6.3119,50.9500,33.1175
01/15/2020,444.0352,-0.8836,50.9500,31.0795
01/14/2020,444.9188,0.9657,50.9500,31.0795
01/13/2020,443.9531,1.9718,50.9500,31.0795
01/10/2020,441.9813,-3.6339,50.9500,31.0795
01/09/2020,445.6152,-1.9381,50.9500,31.0795
01/08/2020,447.5533,1.2698,50.9500,32.0985
01/07/2020,446.2835,0.5510,50.9500,32.0985
01/06/2020,445.7325,-0.0717,50.9500,32.0985
01/03/2020,447.2686,3.7669,48.9200,30.8196
01/02/2020,443.5017,-2.2523,48.9200,31.3088
12/31/2019,445.7540,-0.2052,48.9200,31.3088
12/30/2019,445.9592,2.0245,48.9200,31.3088
12/27/2019,443.9347,-6.4577,48.9200,31.3088
12/26/2019,450.3924,7.7362,48.9200,32.2872
12/23/2019,442.6562,1.3574,48.9200,32.2872
12/20/2019,441.2988,-0.5115,48.9200,30.8196
12/19/2019,441.8103,0.0565,48.9200,30.8196
12/18/2019,441.7538,-2.6068,48.9200,30.8196
12/17/2019,444.3606,-3.5122,48.9200,30.8196
12/16/2019,447.8728,0.5331,48.9200,30.8196
12/13/2019,447.3397,1.9733,48.9200,30.8196
12/12/2019,445.3664,-0.0494,48.9200,30.8196
12/11/2019,445.4158,-0.4940,48.9200,31.7980
12/10/2019,445.9098,1.5164,48.9200,31.7980
12/09/2019,444.3934,1.1097,48.9200,31.7980
12/06/2019,443.2837,1.9612,48.9200,31.7980
12/05/2019,441.3225,0.5838,48.9200,31.7980
12/04/2019,440.7387,-2.5536,48.9200,31.3088
12/03/2019,443.2923,-1.2141,48.9200,31.3088
12/02/2019,444.5064,-6.0094,48.9200,31.3088
11/29/2019,450.5158,-3.8664,48.9200,31.3088
11/27/2019,454.3822,1.0378,48.9200,31.3088
11/26/2019,453.3444,1.0592,48.9200,31.3088
11/25/2019,452.2852,-0.7484,48.9200,31.3088
11/22/2019,453.0336,-0.1615,48.9200,31.3088
11/21/2019,453.1951,1.9877,48.9200,31.3088
11/20/2019,451.2074,1.5324,48.9200,30.8196
11/19/2019,449.6750,-0.3445,48.9200,30.8196
11/18/2019,450.0195,4.5111,48.9200,30.8196
11/15/2019,445.5084,-0.5635,48.9200,30.8196
11/14/2019,446.0719,0.7313,48.9200,30.8196
11/13/2019,445.3406,0.3800,48.9200,31.3088
11/12/2019,444.9606,0.4660,48.9200,31.3088
11/11/2019,444.4946,-0.8962,48.9200,31.3088
11/08/2019,445.3908,0.1791,48.9200,31.3088
11/07/2019,445.2117,1.5962,48.9200,31.3088
11/06/2019,443.6155,0.6143,48.9200,31.3088
11/05/2019,443.0012,-0.8946,48.9200,31.3088
11/04/2019,443.8958,2.2598,48.9200,31.3088
11/01/2019,441.6360,0.3576,48.9200,31.3088
10/31/2019,441.2784,0.9992,48.9200,31.3088
10/30/2019,440.2792,-1.5731,48.9200,31.3088
10/29/2019,441.8523,2.5799,48.9200,31.3088
10/28/2019,439.2724,-3.5949,48.9200,31.3088
10/25/2019,442.8673,0.2051,48.9200,31.3088
10/24/2019,442.6622,-0.5566,48.9200,31.3088
10/23/2019,443.2188,0.5692,48.9200,30.8196
10/22/2019,442.6496,-2.1184,48.9200,30.8196
10/21/2019,444.7680,4.9118,48.9200,30.8196
10/18/2019,439.8562,1.1524,48.9200,30.8196
10/17/2019,438.7038,-1.1176,48.9200,30.8196
10/16/2019,439.8214,-0.1429,48.9200,30.8196
10/15/2019,439.9643,-0.5817,48.9200,30.8196
10/14/2019,440.5460,-1.3731,48.9200,30.8196
10/11/2019,441.9191,0.0547,48.9200,30.8196
10/10/2019,441.8644,-0.1775,48.9200,30.8196
10/09/2019,442.0419,-1.5929,48.9200,30.3304
10/08/2019,443.6348,1.2403,48.9200,30.3304
10/07/2019,442.3945,2.6482,48.9200,30.3304
10/04/2019,439.7463,-0.4495,48.9200,30.3304
10/03/2019,440.1958,-0.0529,48.9200,30.3304
10/02/2019,440.2487,0.0400,48.9200,30.8196
10/01/2019,440.2087,-1.1077,48.9200,30.8196
09/30/2019,441.3164,-1.5371,48.9200,30.8196
09/27/2019,442.8535,1.4157,48.9200,30.8196
09/26/2019,441.4378,-0.3413,48.9200,30.8196
09/25/2019,441.7791,1.3647,48.9200,31.3088
09/24/2019,440.4144,1.4702,48.9200,31.3088
09/23/2019,438.9442,-1.0227,48.9200,31.3088
09/20/2019,439.9669,-0.9612,48.9200,31.3088
09/19/2019,440.9281,0.5741,48.9200,31.3088
09/18/2019,440.3540,0.6886,48.9200,31.7980
09/17/2019,439.6654,-0.1690,48.9200,31.7980
09/16/2019,439.8344,1.1855,48.9200,31.7980
09/13/2019,438.6489,0.7868,48.9200,31.7980
09/12/2019,437.8621,-0.7754,48.9200,31.7980
09/11/2019,438.6375,3.2226,48.9200,31.7980
09/10/2019,435.4149,-0.6970,48.9200,31.7980
09/09/2019,436.1119,4.1940,48.9200,31.7980
09/06/2019,431.9179,0.4626,48.9200,31.7980
09/05/2019,431.4553,-3.2069,48.9200,31.7980
09/04/2019,434.6622,-1.3447,48.9200,31.7980
09/03/2019,436.0069,-2.6444,48.9200,31.7980
08/30/2019,438.6513,2.7715,48.9200,31.7980
08/29/2019,435.8798,1.5179,48.9200,31.7980
08/28/2019,434.3619,-0.1336,48.9200,31.3088
08/27/2019,434.4955,6.9133,48.9200,31.3088
08/26/2019,427.5822,0.8316,48.9200,31.3088
08/23/2019,426.7506,-2.0429,48.9200,31.3088
08/22/2019,428.7935,-1.4573,48.9200,31.3088
08/21/2019,430.2508,1.8485,48.9200,32.2872
08/20/2019,428.4023,-5.7831,48.9200,32.2872
08/19/2019,434.1854,1.0525,48.9200,32.2872
08/16/2019,433.1329,-0.6657,48.9200,32.2872
08/15/2019,433.7986,3.3187,48.9200,32.2872
08/14/2019,430.4799,-3.3032,48.9200,31.7980
08/13/2019,433.7831,-1.4963,48.9200,31.7980
08/12/2019,435.2794,-0.8530,48.9200,31.7980
08/09/2019,436.1324,-0.1249,48.9200,31.7980
08/08/2019,436.2573,-0.2675,48.9200,31.7980
08/07/2019,436.5248,1.2215,48.9200,32.7764
08/06/2019,435.3033,1.0219,48.9200,32.7764
08/05/2019,434.2814,1.2285,48.9200,32.7764
08/02/2019,433.0529,0.6903,48.9200,32.7764
08/01/2019,432.3626,-3.1773,48.9200,32.7764
07/31/2019,435.5399,-1.7799,48.9200,32.2872
07/30/2019,437.3198,1.0706,48.9200,32.2872
07/29/2019,436.2492,1.0347,48.9200,32.2872
07/26/2019,435.2145,-0.1088,48.9200,32.2872
07/25/2019,435.3233,-3.7301,48.9200,32.2872
07/24/2019,439.0534,-3.1871,48.9200,31.3088
07/23/2019,442.2405,-1.1222,48.9200,31.3088
07/22/2019,443.3627,0.9625,48.9200,31.3088
07/19/2019,442.4002,1.0468,48.9200,31.3088
07/18/2019,441.3534,3.4144,48.9200,31.3088
07/17/2019,437.9390,2.7368,48.9200,32.2872
07/16/2019,435.2022,0.0229,48.9200,32.2872
07/15/2019,435.1793,-0.0516,48.9200,32.2872
07/12/2019,435.2309,-1.8408,48.9200,32.2872
07/11/2019,437.0717,-1.4933,48.9200,32.2872
07/10/2019,438.5650,0.0192,48.9200,33.2656
07/09/2019,438.5458,0.5953,48.9200,33.2656
07/08/2019,437.9505,10.9019,48.9200,33.2656
07/05/2019,427.0486,2.4091,48.9200,33.7548
07/03/2019,424.6395,0.9018,48.9200,33.7548
07/02/2019,423.7377,-0.0264,48.9200,33.7548
07/01/2019,423.7641,-5.3010,48.9200,33.7548
06/28/2019,429.0651,-4.5050,48.9200,33.7548
06/27/2019,433.5701,2.2837,48.9200,33.7548
06/26/2019,431.2864,-1.5946,48.9200,33.2656
06/25/2019,432.8810,1.6598,48.9200,33.2656
06/24/2019,431.2212,3.2284,48.9200,33.2656
06/21/2019,427.9928,3.7902,48.9200,33.2656
06/20/2019,424.2026,-0.8374,48.9200,33.2656
06/19/2019,425.0400,0.8321,48.9200,32.2872
06/18/2019,424.2079,-2.4943,48.9200,32.2872
06/17/2019,426.7022,-2.0116,48.9200,32.2872
06/14/2019,428.7138,-2.3724,48.9200,32.2872
06/13/2019,431.0862,1.5864,48.9200,32.2872
06/12/2019,429.4998,1.8592,48.9200,32.7764
06/11/2019,427.6406,2.0357,48.9200,32.7764
06/10/2019,425.6049,0.4528,48.9200,32.7764
06/07/2019,425.1521,-0.8308,48.9200,32.7764
06/06/2019,425.9829,0.1642,48.9200,32.7764
06/05/2019,425.8187,1.1926,48.9200,33.2656
06/04/2019,424.6261,-0.2773,48.9200,33.2656
06/03/2019,424.9034,-1.7438,48.9200,33.2656
05/31/2019,426.6472,-0.8161,48.9200,33.2656
05/30/2019,427.4633,-0.1895,48.9200,33.2656
05/29/2019,427.6528,-2.3793,48.9200,32.2872
05/28/2019,430.0321,1.3402,48.9200,32.2872
05/24/2019,428.6919,3.2278,48.9200,32.2872
05/23/2019,425.4641,-5.3973,48.9200,32.2872
05/22/2019,422.7005,1.6153,48.9200,32.7764
05/21/2019,421.0852,-2.5132,48.9200,32.2872
05/20/2019,423.5984,0.1005,48.9200,32.2872
05/17/2019,423.4979,-0.0168,48.9200,32.2872
05/16/2019,423.5147,-5.2287,48.9200,32.2872
05/15/2019,428.7434,0.1617,48.9200,31.3088
05/14/2019,428.5817,1.3953,48.9200,31.3088
05/13/2019,427.1864,3.1785,48.9200,31.3088
05/10/2019,424.0079,-2.0952,48.9200,31.3088
05/09/2019,426.1031,0.8474,48.9200,31.3088
05/08/2019,425.2557,1.5365,48.9200,31.3088
05/07/2019,423.7192,-0.7629,48.9200,31.3088
05/06/2019,424.4821,-2.5326,48.9200,31.3088
05/03/2019,427.0147,0.7278,48.9200,31.3088
05/02/2019,426.2869,-1.7683,48.9200,31.3088
05/01/2019,428.0552,-1.8033,48.9200,33.7548
04/30/2019,429.8585,3.4014,48.9200,33.7548
04/29/2019,426.4571,0.9912,48.9200,33.7548
04/26/2019,425.4659,-0.8737,48.9200,33.7548
04/25/2019,426.3396,2.2765,48.9200,33.7548
04/24/2019,424.0631,2.6961,48.9200,34.7332
04/23/2019,421.3670,-1.9491,48.9200,34.7332
04/22/2019,423.3161,0.9709,48.9200,34.7332
04/19/2019,422.3452,1.2106,48.9200,34.7332
