Report Date,GROSS CARCASS PRICE,GROSS CARCASS CHANGE,GROSS CARCASS %,GROSS CARCASS WEIGHT
06/30/2015,360.5481,0.5981,95.7400,67.9754
06/29/2015,359.9512,2.8512,95.7400,67.9754
06/26/2015,357.0995,3.0295,95.7400,67.9754
06/25/2015,354.0685,0.9585,95.7400,67.9754
06/24/2015,353.1123,1.7423,95.7400,69.8902
06/23/2015,351.3666,0.1366,95.7400,69.8902
06/22/2015,351.2326,2.0826,95.7400,69.8902
06/19/2015,349.1479,-0.7621,95.7400,69.8902
06/18/2015,349.9077,0.8677,95.7400,69.8902
06/17/2015,349.0426,-2.5074,95.7400,67.9754
06/16/2015,351.5536,0.7836,95.7400,67.9754
06/15/2015,350.7671,-4.6629,95.7400,67.9754
06/12/2015,355.4320,-1.0080,95.7400,67.9754
06/11/2015,356.4412,-0.4888,95.7400,68.9328
06/10/2015,356.9326,-0.0974,95.7400,68.9328
06/09/2015,357.0313,-0.4287,95.7400,68.9328
06/08/2015,357.4591,-1.5509,95.7400,68.9328
06/05/2015,359.0099,0.9799,95.7400,68.9328
06/04/2015,358.0279,-0.3721,95.7400,69.8902
06/03/2015,358.4014,1.0314,95.7400,69.8902
06/02/2015,357.3661,0.0361,95.7400,69.8902
06/01/2015,357.3285,1.1285,95.7400,69.8902
05/29/2015,356.2038,-0.2662,95.7400,69.8902
05/28/2015,356.4738,0.7738,95.7400,69.8902
05/27/2015,355.7018,-1.1582,95.7400,69.8902
05/26/2015,356.8552,0.5752,95.7400,69.8902
05/22/2015,356.2781,-0.3119,95.7400,69.8902
05/21/2015,356.5880,-0.8120,95.7400,69.8902
05/20/2015,357.3977,0.0677,95.7400,70.8476
05/19/2015,357.3337,-0.8563,95.7400,70.8476
05/18/2015,358.1852,-1.5048,95.7400,70.8476
05/15/2015,359.6896,0.2496,95.7400,70.8476
05/14/2015,359.4404,-1.3596,95.7400,70.8476
05/13/2015,360.7956,-0.6044,95.7400,70.8476
05/12/2015,361.4036,0.8536,95.7400,70.8476
05/11/2015,360.5455,-0.3845,95.7400,70.8476
05/08/2015,360.9295,0.4495,95.7400,70.8476
05/07/2015,360.4813,0.8813,95.7400,70.8476
05/06/2015,359.6022,1.0822,95.7400,69.8902
05/05/2015,358.5162,-0.5938,95.7400,69.8902
05/04/2015,359.1087,4.3387,95.7400,69.8902
05/01/2015,354.7667,-1.7033,95.7400,69.8902
