Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
02/10/2020,392.6116,1.6517,49.0500,33.3540
02/07/2020,390.9599,1.5329,49.0500,33.3540
02/06/2020,389.4270,-1.0635,49.0500,33.3540
02/05/2020,390.4905,-0.2397,49.0500,32.8635
02/04/2020,390.7302,-2.0045,49.0500,32.8635
02/03/2020,392.7347,2.9078,49.0500,32.8635
01/31/2020,389.8269,3.5437,49.0500,32.8635
01/30/2020,386.2832,-0.3343,49.0500,32.8635
01/29/2020,386.6175,-0.3761,49.0500,32.8635
01/28/2020,386.9936,-0.7027,49.0500,32.8635
01/27/2020,387.6963,-0.4882,49.0500,32.8635
01/24/2020,388.1845,-3.7328,49.0500,32.8635
01/23/2020,391.9173,-3.6602,49.0500,32.8635
01/22/2020,395.5775,1.9565,49.0500,31.8825
01/21/2020,393.6210,2.8420,49.0500,31.8825
01/20/2020,390.7790,0.0985,49.0500,31.8825
01/17/2020,390.6805,0.0629,49.0500,31.8825
01/16/2020,390.6176,2.3410,49.0500,31.8825
01/15/2020,388.2766,-1.9047,49.0500,29.9205
01/14/2020,390.1813,-0.7911,49.0500,29.9205
01/13/2020,390.9724,-3.7050,49.0500,29.9205
01/10/2020,394.6774,-0.4812,49.0500,29.9205
01/09/2020,395.1586,-0.6714,49.0500,29.9205
01/08/2020,395.8300,0.3861,49.0500,30.9015
01/07/2020,395.4439,0.5179,49.0500,30.9015
01/06/2020,394.9260,1.3176,49.0500,30.9015
01/03/2020,408.6058,0.6740,45.5500,28.6965
01/02/2020,407.9318,1.9839,45.5500,29.1520
12/31/2019,405.9479,-3.1414,45.5500,29.1520
12/30/2019,409.0893,5.0324,45.5500,29.1520
12/27/2019,404.0569,-0.3350,45.5500,29.1520
12/26/2019,404.3919,7.4514,45.5500,30.0630
12/23/2019,396.9405,0.8684,45.5500,30.0630
12/20/2019,396.0721,5.0535,45.5500,28.6965
12/19/2019,391.0186,-0.3638,45.5500,28.6965
12/18/2019,391.3824,-1.4977,45.5500,28.6965
12/17/2019,392.8801,-1.9531,45.5500,28.6965
12/16/2019,394.8332,4.3702,45.5500,28.6965
12/13/2019,390.4630,-4.5598,45.5500,28.6965
12/12/2019,395.0228,1.6296,45.5500,28.6965
12/11/2019,393.3932,0.3244,45.5500,29.6075
12/10/2019,393.0688,-4.2714,45.5500,29.6075
12/09/2019,397.3402,2.0345,45.5500,29.6075
12/06/2019,395.3057,4.0016,45.5500,29.6075
12/05/2019,391.3041,-1.6254,45.5500,29.6075
12/04/2019,392.9295,3.8421,45.5500,29.1520
12/03/2019,389.0874,1.7186,45.5500,29.1520
12/02/2019,387.3688,-8.4112,45.5500,29.1520
11/29/2019,395.7800,-2.9434,45.5500,29.1520
11/27/2019,398.7234,-1.3600,45.5500,29.1520
11/26/2019,400.0834,3.4249,45.5500,29.1520
11/25/2019,396.6585,-0.0884,45.5500,29.1520
11/22/2019,396.7469,0.6678,45.5500,29.1520
11/21/2019,396.0791,-1.8952,45.5500,29.1520
11/20/2019,397.9743,-0.0657,45.5500,28.6965
11/19/2019,398.0400,-1.9314,45.5500,28.6965
11/18/2019,399.9714,2.2032,45.5500,28.6965
11/15/2019,397.7682,-0.5788,45.5500,28.6965
11/14/2019,398.3470,-2.4903,45.5500,28.6965
11/13/2019,400.8373,-3.6959,45.5500,29.1520
11/12/2019,404.5332,-1.6301,45.5500,29.1520
11/11/2019,406.1633,-0.0153,45.5500,29.1520
11/08/2019,406.1786,-0.2767,45.5500,29.1520
11/07/2019,406.4553,0.2508,45.5500,29.1520
11/06/2019,406.2045,7.3593,45.5500,29.1520
11/05/2019,398.8452,0.6096,45.5500,29.1520
11/04/2019,398.2356,-1.8335,45.5500,29.1520
11/01/2019,400.0691,0.1620,45.5500,29.1520
10/31/2019,399.9071,6.3674,45.5500,29.1520
10/30/2019,393.5397,-1.7015,45.5500,29.1520
10/29/2019,395.2412,-6.8186,45.5500,29.1520
10/28/2019,402.0598,-1.8764,45.5500,29.1520
