Report Date,CODE,CUTS,FOB PRICE,CHANGE,%CARCASS,LBS
06/24/2020,234,"LEG, BONELESS, TIED",455.9024,-17.5486,11.3800,7.8522
06/24/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.1267
06/24/2020,296,GROUND LAMB,511.3362,-5.9007,1.9300,1.3317
06/24/2020,,SHRINK,,,0.3500,0.2415
06/23/2020,,FORESADDLE,,,,
06/23/2020,204,"RACK, 8-RIB MEDIUM",816.1068,-3.5973,5.6800,3.9192
06/23/2020,204C,"RACK, ROAST-READY, FRENCHED",1522.3278,-7.6109,3.2400,2.2356
06/23/2020,209,BREAST **,286.2123,-0.6950,7.7400,5.3406
06/23/2020,207,"SHOULDERS, SQ-CUT",334.7910,-0.7439,22.9600,15.8424
06/23/2020,210,FORESHANK,417.4074,-0.7033,3.2400,2.2356
06/23/2020,,NECK **,177.1722,-1.6402,2.3800,1.6422
06/23/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3736
06/23/2020,296,GROUND LAMB,517.2369,7.0007,1.9200,1.3248
06/23/2020,,SHRINK,,,0.3500,0.2415
06/23/2020,,HINDSADDLE,,,,
06/23/2020,232,"LOINS, TRIMMED 4X4",564.4858,4.1866,5.7300,3.9537
06/23/2020,232,"LOINS, TRIMMED 1X1",668.1295,-2.1445,3.5500,2.4495
06/23/2020,232E,"FLANK, UNTRIMMED **",189.4736,-8.0566,2.8600,1.9734
06/23/2020,233A,"LEG, TROTTER OFF",373.4427,0.4212,15.8200,10.9158
06/23/2020,234,"LEG, BONELESS, TIED",473.4510,3.5074,11.3800,7.8522
06/23/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.1267
06/23/2020,296,GROUND LAMB,517.2369,7.0007,1.9300,1.3317
06/23/2020,,SHRINK,,,0.3500,0.2415
06/22/2020,,FORESADDLE,,,,
06/22/2020,204,"RACK, 8-RIB MEDIUM",819.7041,-2.5674,5.6800,3.9192
06/22/2020,204C,"RACK, ROAST-READY, FRENCHED",1529.9387,1.9017,3.2400,2.2356
06/22/2020,209,BREAST **,286.9073,3.5470,7.7400,5.3406
06/22/2020,207,"SHOULDERS, SQ-CUT",335.5349,-2.8680,22.9600,15.8424
06/22/2020,210,FORESHANK,418.1107,-2.8839,3.2400,2.2356
06/22/2020,,NECK **,178.8124,-9.4114,2.3800,1.6422
06/22/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3736
06/22/2020,296,GROUND LAMB,510.2362,-4.0480,1.9200,1.3248
06/22/2020,,SHRINK,,,0.3500,0.2415
06/22/2020,,HINDSADDLE,,,,
06/22/2020,232,"LOINS, TRIMMED 4X4",560.2992,-13.1432,5.7300,3.9537
06/22/2020,232,"LOINS, TRIMMED 1X1",670.2740,-18.0357,3.5500,2.4495
06/22/2020,232E,"FLANK, UNTRIMMED **",197.5302,0.2139,2.8600,1.9734
06/22/2020,233A,"LEG, TROTTER OFF",373.0215,-4.8432,15.8200,10.9158
06/22/2020,234,"LEG, BONELESS, TIED",469.9436,-19.3909,11.3800,7.8522
06/22/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.1267
06/22/2020,296,GROUND LAMB,510.2362,-4.0480,1.9300,1.3317
06/22/2020,,SHRINK,,,0.3500,0.2415
06/19/2020,,FORESADDLE,,,,
06/19/2020,204,"RACK, 8-RIB MEDIUM",822.2715,-2.6821,5.6800,3.9192
06/19/2020,204C,"RACK, ROAST-READY, FRENCHED",1528.0370,-26.7149,3.2400,2.2356
06/19/2020,209,BREAST **,283.3603,0.5002,7.7400,5.3406
06/19/2020,207,"SHOULDERS, SQ-CUT",338.4029,9.0570,22.9600,15.8424
06/19/2020,210,FORESHANK,420.9946,0.2303,3.2400,2.2356
06/19/2020,,NECK **,188.2238,-17.4460,2.3800,1.6422
06/19/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3736
06/19/2020,296,GROUND LAMB,514.2842,2.3276,1.9200,1.3248
06/19/2020,,SHRINK,,,0.3500,0.2415
06/19/2020,,HINDSADDLE,,,,
06/19/2020,232,"LOINS, TRIMMED 4X4",573.4424,8.7951,5.7300,3.9537
06/19/2020,232,"LOINS, TRIMMED 1X1",688.3097,-4.3363,3.5500,2.4495
06/19/2020,232E,"FLANK, UNTRIMMED **",197.3163,-17.4035,2.8600,1.9734
06/19/2020,233A,"LEG, TROTTER OFF",377.8647,3.0994,15.8200,10.9158
06/19/2020,234,"LEG, BONELESS, TIED",489.3345,-3.9447,11.3800,7.8522
06/19/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.1267
06/19/2020,296,GROUND LAMB,514.2842,2.3276,1.9300,1.3317
06/19/2020,,SHRINK,,,0.3500,0.2415
06/18/2020,,FORESADDLE,,,,
06/18/2020,204,"RACK, 8-RIB MEDIUM",824.9536,-3.6271,5.6800,3.9192
06/18/2020,204C,"RACK, ROAST-READY, FRENCHED",1554.7519,-18.5439,3.2400,2.2356
06/18/2020,209,BREAST **,282.8601,1.2070,7.7400,5.3406
06/18/2020,207,"SHOULDERS, SQ-CUT",329.3459,-0.2719,22.9600,15.8424
06/18/2020,210,FORESHANK,420.7643,1.2034,3.2400,2.2356
06/18/2020,,NECK **,205.6698,0.8458,2.3800,1.6422
06/18/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3736
06/18/2020,296,GROUND LAMB,511.9566,7.4590,1.9200,1.3248
06/18/2020,,SHRINK,,,0.3500,0.2415
06/18/2020,,HINDSADDLE,,,,
06/18/2020,232,"LOINS, TRIMMED 4X4",564.6473,9.1127,5.7300,3.9537
06/18/2020,232,"LOINS, TRIMMED 1X1",692.6460,-11.6501,3.5500,2.4495
06/18/2020,232E,"FLANK, UNTRIMMED **",214.7198,11.0715,2.8600,1.9734
06/18/2020,233A,"LEG, TROTTER OFF",374.7653,-8.0453,15.8200,10.9158
06/18/2020,234,"LEG, BONELESS, TIED",493.2792,-9.1372,11.3800,7.8522
06/18/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.1267
06/18/2020,296,GROUND LAMB,511.9566,7.4590,1.9300,1.3317
06/18/2020,,SHRINK,,,0.3500,0.2415
06/17/2020,,FORESADDLE,,,,
06/17/2020,204,"RACK, 8-RIB MEDIUM",828.5807,0.0185,5.6800,3.9760
06/17/2020,204C,"RACK, ROAST-READY, FRENCHED",1573.2958,2.1805,3.2400,2.2680
06/17/2020,209,BREAST **,281.6531,-1.3985,7.7400,5.4180
06/17/2020,207,"SHOULDERS, SQ-CUT",329.6178,3.6787,22.9600,16.0720
06/17/2020,210,FORESHANK,419.5609,2.4241,3.2400,2.2680
06/17/2020,,NECK **,204.8240,-0.5330,2.3800,1.6660
